clarity,timepoint,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,amp_p0,freq_p0,p0prominence,a1p0,a3p0,vwl_amp_rms,vwl_duration,appendix_dur,Label
normal,3,383,47.99,405,1382,20.04,963,2284,11.45,901,47.99,215,7.64,0,-36.53995,0.052309886,84,0.039,1
normal,3,858,39.65,793,1262,38.29,245,2953,2.4,1592,48.58,215,10.33,-8.93,-46.18496,0.049713253,108,0.056,1
normal,3,243,49.36,1457,1139,40,204,1780,15.57,3009,49.36,215,11.58,0,-33.79027,0.070666628,85,0.058,1
normal,3,786,35.74,364,1476,30.32,159,3023,9.34,618,44.58,194,10.88,-8.84,-35.23537,0.049784208,75,0.036,1
normal,3,397,48.64,369,1013,26.86,1184,2153,9.62,876,48.64,215,8.07,0,-39.02207,0.047252386,97,0.052,1
normal,3,746,35.77,157,1813,5.68,1897,2233,8.06,763,45.51,194,12.73,-9.74,-37.45128,0.038327995,98,0.052,1
normal,3,413,50.09,945,1226,24.12,1169,2233,11.83,845,50.09,215,10.69,0,-38.26376,0.065612977,119,0.058,1
normal,3,393,50.21,1042,924,43.18,330,2161,13.68,1112,50.21,215,7.78,0,-36.526,0.065318838,151,0.045,1
normal,3,679,39.46,430,1047,35.85,469,2024,10.11,1498,43.9,194,8.41,-4.44,-33.79493,0.056016339,96,0.038,1
normal,3,363,50.45,441,1126,39.59,134,2051,18.05,415,50.45,215,11.04,0,-32.39635,0.089992082,105,0.05,1
normal,3,717,41.07,313,1204,32.08,498,3067,11.55,707,47.28,194,7.32,-6.21,-35.73374,0.059413466,98,0.051,1
normal,3,272,47.78,396,1232,19.52,727,2201,7.11,715,47.78,215,12.19,0,-40.67201,0.051889183,87,0.045,1
normal,3,627,36.47,448,2088,7.79,724,3378,10.56,314,46.85,194,10.25,-10.38,-36.29455,0.09319417,84,0.052,1
normal,3,826,43.23,221,1181,34.31,666,3013,10.29,1032,46.46,194,8.36,-3.23,-36.17475,0.06073828,85,0.055,1
clear,3,351,49.03,1045,927,34.95,856,2180,12.95,731,49.03,215,11.98,0,-36.07893,0.05261941,115,0.04,0
clear,3,560,40.77,1309,829,40.77,256,2061,13.75,432,46.29,194,10.42,-5.52,-32.54142,0.086990379,83,0.054,0
clear,3,432,36.5,833,1208,36.89,307,1557,30.36,973,48.07,194,12.15,-11.57,-17.70733,0.059865361,87,0.058,0
clear,3,634,42.01,355,2030,8.93,1071,3455,14.78,121,49.12,215,7.11,-7.11,-34.33967,0.050160728,102,0.052,0
clear,3,525,40.96,668,1767,12.48,1908,2197,12.24,1029,49.32,194,8.36,-8.36,-37.07697,0.069450406,126,0.044,0
clear,3,834,42.05,80,1921,12.03,1091,2775,0.79,2690,46.74,172,11.39,-4.69,-45.94565,0.059213052,110,0.061,0
clear,3,416,50.56,374,1188,42.2,86,2096,19.8,581,50.56,237,11.04,0,-30.75822,0.069561972,115,0.054,0
clear,3,234,49.68,1092,935,30.77,1235,2187,14.84,575,49.68,215,12.82,0,-34.84016,0.045819247,96,0.069,0
clear,3,581,37.82,2129,933,41.79,663,2035,12.44,632,48.3,215,10.48,-10.48,-35.85738,0.059214799,144,0.042,0
clear,3,955,35.54,390,1413,33.95,367,2938,12.75,480,44.52,215,9.56,-8.98,-31.76691,0.033864382,68,0,0
clear,3,756,40.23,465,1344,35.82,388,2749,1.75,1741,45.48,194,7.4,-5.25,-43.73005,0.092102192,120,0.047,0
clear,3,468,42.86,542,1188,28.13,859,2178,20.68,706,48.62,215,5.76,-5.76,-27.93748,0.070050297,87,0.031,0
clear,3,363,48.49,700,959,44.23,78,2073,15.98,855,48.49,237,10.57,0,-32.50611,0.084393065,103,0.043,0
clear,3,777,37.08,844,1296,32.17,616,2886,6,478,44.94,194,10.31,-7.86,-38.94187,0.073248705,88,0.065,0
