vowelSAMPA,F1_Hz,F2_Hz,F3_Hz,target
ɑ̃,366,887,3096,1
ɑ̃,275,1039,2633,1
ɑ̃,479,1015,3174,1
ɑ̃,503,914,3549,1
ɑ̃,323,849,2492,1
ɑ̃,302,1050,3501,1
ɑ̃,318,856,2618,1
ɛ̃,773,1257,3079,1
ɛ̃,794,1274,3172,1
ɛ̃,773,1223,3227,1
ɛ̃,564,1206,3080,1
ɛ̃,632,1253,2984,1
ɔ̃,360,1188,2767,1
ɔ̃,406,851,2728,1
ɔ̃,421,965,2997,1
ɔ̃,336,1046,2742,1
ɔ̃,267,1118,2866,1
ɔ̃,386,979,2778,1
ɔ̃,377,1089,2919,1
ɔ̃,359,1143,2931,1
ɔ̃,343,1140,2629,1
ɔ̃,317,1059,2837,1
ɑ̃,460,1253,2980,1
ɑ̃,446,952,2507,1
ɑ̃,634,1043,3439,1
ɑ̃,251,870,2738,1
ɑ̃,289,833,2614,1
ɛ̃,470,1803,2811,1
ɛ̃,686,1439,3070,1
ɛ̃,413,1166,2071,1
ɛ̃,298,1148,2066,1
ɛ̃,297,1230,2608,1
ɔ̃,571,1249,2947,1
ɔ̃,371,1135,2969,1
ɔ̃,366,1137,2656,1
ɔ̃,280,1077,2590,1
ɔ̃,299,1003,2565,1
ɑ̃,466,1159,3150,1
ɑ̃,713,930,3277,1
ɑ̃,459,882,2857,1
ɑ̃,516,862,2354,1
ɑ̃,314,1021,2539,1
ɛ̃,702,1382,3069,1
ɛ̃,758,1348,3211,1
ɛ̃,721,1200,2676,1
ɛ̃,497,1126,2901,1
ɛ̃,351,1101,2972,1
ɛ̃,438,1479,2974,1
ɛ̃,716,1363,3159,1
ɛ̃,741,1213,3431,1
ɛ̃,376,1142,2121,1
ɛ̃,292,1183,2447,1
ɔ̃,466,1028,2875,1
ɔ̃,429,1103,2602,1
ɔ̃,371,1088,2437,1
ɔ̃,338,1069,2682,1
ɔ̃,289,1051,2690,1
ɑ̃,476,1129,3173,1
ɑ̃,857,1000,3370,1
ɑ̃,263,843,2249,1
ɑ̃,307,878,1972,1
ɑ̃,286,820,2568,1
ɛ̃,685,1395,3140,1
ɛ̃,717,1323,3244,1
ɛ̃,755,1261,3274,1
ɛ̃,403,1167,2958,1
ɛ̃,303,964,2788,1
ɔ̃,488,1035,2662,1
ɔ̃,533,890,2865,1
ɔ̃,437,1013,2837,1
ɔ̃,287,1096,2703,1
ɔ̃,293,1057,2601,1
ɑ̃,452,1325,2995,1
ɑ̃,532,1001,3190,1
ɑ̃,557,957,3353,1
ɑ̃,376,1060,3123,1
ɑ̃,260,1139,3218,1
ɔ̃,388,1135,2992,1
ɔ̃,354,1142,3034,1
ɔ̃,337,1079,2678,1
ɔ̃,295,1027,3457,1
ɔ̃,313,1120,2866,1
ɔ̃,441,1139,2957,1
ɔ̃,519,895,2670,1
ɔ̃,414,1040,2858,1
ɔ̃,299,1102,2998,1
ɔ̃,282,1141,2599,1
ɛ̃,474,2056,2627,1
ɛ̃,706,1699,2956,1
ɛ̃,752,1417,3234,1
ɛ̃,466,997,1636,1
ɛ̃,554,1201,3375,1
ɛ̃,644,1344,3159,1
ɛ̃,747,1313,3269,1
ɛ̃,675,1149,3320,1
ɛ̃,272,1045,2611,1
ɛ̃,242,1172,2645,1
ɑ̃,455,1533,3027,1
ɑ̃,599,1078,3216,1
ɑ̃,414,903,2263,1
ɑ̃,346,1107,2820,1
ɑ̃,473,870,3090,1
ɛ̃,738,1474,3163,1
ɛ̃,671,1305,3432,1
ɛ̃,520,793,1874,1
ɛ̃,306,1160,1738,1
ɛ̃,302,1149,1934,1
ɔ̃,365,1219,2157,1
ɔ̃,439,901,2705,1
ɔ̃,380,1075,2714,1
ɔ̃,282,594,2545,1
ɔ̃,358,1059,2761,1
ɛ̃,687,1387,3232,1
ɛ̃,691,733,1326,1
ɛ̃,368,1012,2273,1
ɛ̃,304,1120,2379,1
ɛ̃,281,1139,2820,1
ɛ̃,525,1390,3118,1
ɛ̃,704,1341,3253,1
ɛ̃,703,1170,3331,1
ɛ̃,482,1220,3410,1
ɛ̃,261,1257,3306,1
ɛ̃,689,1369,3108,1
ɛ̃,762,1367,3340,1
ɛ̃,668,1238,3329,1
ɛ̃,450,947,1211,1
ɛ̃,319,1198,2621,1
ɔ̃,390,967,3045,1
ɔ̃,369,850,2966,1
ɔ̃,285,1003,2764,1
ɔ̃,271,967,2558,1
ɔ̃,292,1124,2597,1
ɑ̃,531,1206,2796,1
ɑ̃,550,1003,3040,1
ɑ̃,465,895,2787,1
ɑ̃,428,829,2778,1
ɑ̃,285,1076,2643,1
ɔ̃,267,1070,2893,1
ɔ̃,347,1091,2987,1
ɔ̃,348,1128,2930,1
ɔ̃,286,1100,2729,1
ɔ̃,318,1103,2834,1
ɑ̃,504,1094,3031,1
ɑ̃,536,780,3329,1
ɑ̃,392,826,2663,1
ɑ̃,671,1055,3247,1
ɑ̃,297,889,2762,1
ɑ̃,584,1234,3134,1
ɑ̃,474,897,2200,1
ɑ̃,320,845,2435,1
