vowel,freq_f1,amp_f1,freq_f2,amp_f2,freq_f3,amp_f3,freq_h1,amp_h1,freq_h2,amp_h2,amp_h3,amp_p0,freq_p0,
ɑ̃,315,50.57,1072,40.51,2240,-2.44,215,50.57,431,34.57,38.54,50.57,215,1
ɑ̃,361,48.66,1142,23.47,2517,-3.37,215,48.66,431,29.88,34.02,48.66,215,1
ɑ̃,678,36.39,1392,12.35,3348,5.15,215,44.83,388,23.78,28.1,44.83,215,1
ɛ̃,712,36.75,1269,29.05,3544,4.35,215,51.28,431,37.08,36.51,51.28,215,1
ɛ̃,886,40.82,1587,19.02,3589,8.21,215,52.14,431,39.18,40.19,52.14,215,1
ɛ̃,184,51.54,934,40.67,1921,13.14,215,51.54,431,36.92,39.37,51.54,215,1
ɛ̃,874,36.33,1410,29.29,3689,14.09,215,48.36,431,31.96,34.26,48.36,215,1
ɛ̃,773,30.08,1408,26.54,3644,6.91,215,45.29,431,27.71,30.08,45.29,215,1
ɑ̃,406,50.89,1160,27.78,2981,3.07,215,50.62,431,50.89,31.92,50.62,215,1
ɑ̃,425,51.92,1022,36.52,3109,9.65,215,51.92,431,51.52,40.39,51.92,215,1
ɑ̃,404,51.64,838,44.35,1851,5.8,215,51.64,409,41.26,44.72,51.64,215,1
ɑ̃,363,49.74,825,45.16,1717,12.23,215,49.74,431,36.88,43.62,49.74,215,1
ɑ̃,814,42.55,1975,5.56,3659,8.95,215,45.53,409,27.88,36.6,45.53,215,1
ɔ̃,352,53.55,1172,24.91,1530,21.98,237,53.55,474,43.31,36.04,53.55,237,1
ɔ̃,313,53.24,1300,27.85,1986,6.59,237,53.24,452,43.9,29.67,53.24,237,1
ɔ̃,270,53.14,1192,25.77,2480,2.36,215,53.14,452,39.88,26.13,53.14,215,1
ɔ̃,287,51.02,1230,21.95,2349,5.45,215,51.02,431,37.73,30.94,51.02,215,1
ɔ̃,298,43.96,1237,22.18,2254,8.07,215,43.96,409,30.29,28.22,43.96,215,1
ɔ̃,356,52.9,986,32.9,2173,10.13,215,52.9,452,45.58,37.3,52.9,215,1
ɔ̃,341,53.01,889,37.72,2279,6.95,215,53.01,452,42.32,37.72,53.01,215,1
ɔ̃,272,51.67,1123,20.71,2369,2.19,215,51.67,452,37.88,26.23,51.67,215,1
ɔ̃,322,47.74,1256,20.86,2064,9.91,215,47.74,431,34.13,30.66,47.74,215,1
ɔ̃,869,29.44,1944,6.04,3385,9,215,42.73,431,28.21,29.89,42.73,215,1
ɑ̃,455,46.05,1056,35.37,3258,14.45,215,51.25,431,46.05,39.12,51.25,215,1
ɑ̃,832,44.12,868,42.32,3787,13.72,215,51.59,431,43.04,44.12,51.59,215,1
ɑ̃,268,49.65,790,39.87,1579,14.57,215,49.65,431,38.33,39.87,49.65,215,1
ɑ̃,365,46.67,1087,23.53,1323,20.39,237,46.67,452,34.31,33.02,46.67,237,1
ɑ̃,738,33.79,1348,18.89,3652,3.18,237,42.69,452,30.81,33.79,42.69,237,1
ɑ̃,730,43.28,1145,36.95,3616,14.99,194,51.32,388,42.49,43.28,51.32,194,1
ɑ̃,246,51.11,895,38.74,1826,6.03,194,51.11,388,39.83,39.98,51.11,194,1
ɑ̃,668,40.9,1384,23.14,2373,9,194,49.69,409,37.7,40.9,49.69,194,1
ɑ̃,484,35.89,1306,19.07,2399,7.18,215,50.02,409,35.89,34.9,50.02,215,1
ɑ̃,218,47.46,1351,6.93,2274,-0.5,215,47.46,431,21.09,6.28,47.46,215,1
ɑ̃,378,52.32,695,45.15,2117,12.56,194,52.32,409,41.92,45.15,52.32,194,1
ɑ̃,696,44.15,2052,12.95,3769,18.53,194,52.13,388,41.86,44.15,52.13,194,1
ɑ̃,563,45.65,1178,27.29,2893,-1.05,194,50.36,409,40.31,45.65,50.36,194,1
ɑ̃,680,44.76,1893,8.16,3749,16.19,215,48.41,452,35.7,44.76,48.41,215,1
ɑ̃,276,47.67,810,30.76,2132,-6.78,237,47.67,474,30.18,30.76,47.67,237,1
ɛ̃,789,31.61,1222,28.51,3388,9.7,194,48.81,388,33.54,31.9,48.81,194,1
ɛ̃,346,48.36,1058,33.94,3421,12.19,194,48.36,388,34.15,32.23,48.36,194,1
ɛ̃,617,33.07,1075,32.3,3450,13.53,194,48.28,388,35.09,29.5,48.28,194,1
ɛ̃,742,32.4,1125,32.38,2122,6.18,194,46.26,388,29.77,27.23,46.26,194,1
ɛ̃,211,44.65,1039,26.02,1781,2.81,215,44.65,452,20.75,22.52,44.65,215,1
ɔ̃,316,53.72,1000,33.03,1925,9.03,215,53.72,409,41.75,37.96,53.72,215,1
ɔ̃,311,53.22,1413,22.67,2827,3.61,215,53.22,409,40.67,35.23,53.22,215,1
ɔ̃,260,51.51,1119,21.68,2563,7.23,215,51.51,409,39.37,27.83,51.51,215,1
ɔ̃,242,50.27,1061,19.09,2521,4.3,215,50.27,431,34.4,21.02,50.27,215,1
ɔ̃,237,47.89,1407,4.36,2307,-2.76,215,47.89,452,26.31,7.97,47.89,215,1
ɔ̃,355,52.97,1492,18.95,1652,14.28,194,52.97,409,41.47,38.58,52.97,194,1
ɔ̃,272,52.69,1356,18.68,1993,5.7,194,52.69,409,40.76,31.56,52.69,194,1
ɔ̃,267,51.6,1287,14.51,2698,2.7,215,51.6,409,39.64,28.32,51.6,215,1
ɔ̃,257,50.69,1223,13.58,2402,5.46,215,50.69,431,34.75,22.12,50.69,215,1
ɔ̃,272,48.03,1268,7.38,2327,-4.4,237,48.03,474,23.6,7.59,48.03,237,1
ɑ̃,405,52.74,1198,34.76,3412,5.74,215,52.74,409,48.04,38.6,52.74,215,1
ɑ̃,578,48.19,943,41.94,2184,4.42,194,53.41,409,44.53,48.19,53.41,194,1
ɑ̃,747,44.94,1610,16.51,3604,10.97,194,51.76,409,40.93,44.94,51.76,194,1
ɑ̃,439,45.81,786,44.95,2114,5.24,215,49.13,431,37.25,44.95,49.13,215,1
ɑ̃,304,46.68,838,34.06,1833,-2.31,237,46.68,474,31.43,34.06,46.68,237,1
ɛ̃,625,42.37,2093,16.27,3192,25.06,194,54.56,409,45.32,41.93,54.56,194,1
ɛ̃,785,38.99,1651,27.08,3363,18.02,194,52.87,388,42.36,37.24,52.87,194,1
ɛ̃,785,37.39,1477,29.85,3333,10.62,194,50.5,388,41.48,31.46,50.5,194,1
ɛ̃,208,48.78,1117,32.78,2071,10.62,194,48.78,409,36.2,31.16,48.78,194,1
ɛ̃,241,47.56,1028,30.1,2140,7.69,215,47.56,409,29.77,28.92,47.56,215,1
ɔ̃,288,52.49,1119,22.12,1868,0.06,215,52.49,409,42.96,29.12,52.49,215,1
ɔ̃,294,51.85,1442,20.89,1856,7.1,194,51.85,409,42.85,28.6,51.85,194,1
ɔ̃,259,49.49,1250,5.95,2259,7.34,194,49.49,409,37.26,20.66,49.49,194,1
ɔ̃,245,48.18,1457,7.98,2158,-2.44,237,48.18,474,25.82,8.6,48.18,237,1
ɔ̃,269,39.64,1362,4.1,2177,-4.55,258,39.64,495,11.99,11.43,39.64,258,1
ɑ̃,610,43,1116,30.61,3343,13.58,194,53.09,388,43.38,42.45,53.09,194,1
ɑ̃,263,52.77,827,40.16,2035,10.7,194,52.77,388,40.59,38.85,52.77,194,1
ɑ̃,367,52.04,790,40.51,2491,4.99,194,52.04,409,39.08,40.51,52.04,194,1
ɑ̃,247,50.9,1147,19.52,2299,-1.05,215,50.9,431,35.28,22.18,50.9,215,1
ɑ̃,238,50.45,1201,8.81,2001,-3.12,237,50.45,452,29.86,6.64,50.45,237,1
ɛ̃,688,45.44,1472,38.98,3374,11.32,215,52.87,431,46.33,45.44,52.87,215,1
ɛ̃,347,52.71,805,44.57,1522,36.03,215,52.71,409,43.08,44.57,52.71,215,1
ɛ̃,817,43,1261,37.23,3596,6.79,215,51.33,409,40.35,40.84,51.33,215,1
ɛ̃,333,49.94,960,37.43,1649,12.72,215,49.94,431,37,38.44,49.94,215,1
ɛ̃,299,48.01,1041,27.82,2053,3.58,237,48.01,452,32.77,32.75,48.01,237,1
ɛ̃,620,42.88,1450,29.48,3417,14.37,194,53.5,409,43.31,42.88,53.5,194,1
ɛ̃,696,38.8,1421,26.06,3469,13.13,194,53.07,409,40.89,38.8,53.07,194,1
ɛ̃,713,35.11,1353,26.81,3665,13.14,194,51.09,409,37.1,33.93,51.09,194,1
ɛ̃,332,49.11,1191,30.85,1659,23.24,215,49.11,431,34.27,34.06,49.11,215,1
ɛ̃,676,34.78,1368,27.83,3815,2.77,215,45.57,452,32.83,34.78,45.57,215,1
ɔ̃,299,52.42,1315,23.01,2377,8.84,215,52.42,409,43.4,30.44,52.42,215,1
ɔ̃,287,52.02,1331,21.41,2265,7.36,194,52.02,409,42.07,29.8,52.02,194,1
ɔ̃,264,51.29,1342,19.71,2207,6.12,194,51.29,409,39.64,24.98,51.29,194,1
ɔ̃,253,48.65,1403,17.4,2243,0.09,194,48.65,409,36.2,19.54,48.65,194,1
ɔ̃,257,46.64,1363,10.21,2078,-3.67,215,46.64,431,32.32,16.31,46.64,215,1
ɑ̃,569,49.98,1210,35.43,3354,14.96,215,53.91,431,49.98,45.5,53.91,215,1
ɑ̃,531,46.83,847,48.06,2459,4.24,215,53.34,409,43.7,46.83,53.34,215,1
ɑ̃,327,52.52,828,44.2,2069,5.13,215,52.52,431,39.23,43.16,52.52,215,1
ɑ̃,230,49.53,690,42.93,2412,-3.04,215,49.53,452,36.73,42.93,49.53,215,1
ɑ̃,700,40.15,1335,16.87,3719,9.21,237,44.65,452,31.83,40.15,44.65,237,1
