clarity,timepoint,freq_f1,amp_f1,width_f1,freq_f2,amp_f2,width_f2,freq_f3,amp_f3,width_f3,amp_p0,freq_p0,p0prominence,a1p0,a3p0,vwl_amp_rms,vwl_duration,appendix,appendix_dur,nasal_app,creak_app,target
normal,5,814,42.55,59,1975,5.56,766,3659,8.95,226,45.53,215,17.65,-2.98,-36.57922,0.1112170561,0.122,none,0,0,0,1
normal,1,352,53.55,233,1172,24.91,1550,1530,21.98,910,53.55,237,10.24,0,-31.57499,0.1030403536,0.121,n,0.012,1,0,1
normal,2,313,53.24,150,1300,27.85,295,1986,6.59,3261,53.24,237,9.34,0,-46.64653,0.1030403536,0.121,n,0.012,1,0,1
normal,3,270,53.14,104,1192,25.77,280,2480,2.36,947,53.14,215,13.27,0,-50.78149,0.1030403536,0.121,n,0.012,1,0,1
normal,4,287,51.02,222,1230,21.95,784,2349,5.45,1457,51.02,215,13.29,0,-45.57025,0.1030403536,0.121,n,0.012,1,0,1
normal,5,298,43.96,169,1237,22.18,288,2254,8.07,642,43.96,215,13.67,0,-35.89262,0.1030403536,0.121,n,0.012,1,0,1
normal,1,356,52.9,285,986,32.9,423,2173,10.13,1075,52.9,215,7.31,0,-42.7653,0.117488577,0.13,c,0.014,0,1,1
normal,2,341,53.01,317,889,37.72,774,2279,6.95,967,53.01,215,10.69,0,-46.05803,0.117488577,0.13,c,0.014,0,1,1
normal,3,272,51.67,124,1123,20.71,599,2369,2.19,844,51.67,215,13.79,0,-49.48156,0.117488577,0.13,c,0.014,0,1,1
normal,4,322,47.74,446,1256,20.86,1656,2064,9.91,1234,47.74,215,13.62,0,-37.83057,0.117488577,0.13,c,0.014,0,1,1
normal,5,869,29.44,426,1944,6.04,696,3385,9,300,42.73,215,14.52,-13.29,-33.73052,0.117488577,0.13,c,0.014,0,1,1
normal,1,455,46.05,296,1056,35.37,191,3258,14.45,123,51.25,215,5.2,-5.2,-36.80452,0.0840455145,0.162,n,0.021,1,0,1
normal,2,832,44.12,346,868,42.32,807,3787,13.72,2644,51.59,215,8.54,-7.47,-37.86747,0.0840455145,0.162,n,0.021,1,0,1
normal,3,268,49.65,1036,790,39.87,351,1579,14.57,1610,49.65,215,11.31,0,-35.07529,0.0840455145,0.162,n,0.021,1,0,1
normal,4,365,46.67,532,1087,23.53,1238,1323,20.39,1455,46.67,237,12.36,0,-26.27941,0.0840455145,0.162,n,0.021,1,0,1
normal,5,738,33.79,265,1348,18.89,687,3652,3.18,1142,42.69,237,11.88,-8.9,-39.50544,0.0840455145,0.162,n,0.021,1,0,1
clear,1,730,43.28,323,1145,36.95,507,3616,14.99,419,51.32,194,8.83,-8.04,-36.32922,0.0572833713,0.168,n,0.056,1,0,0
clear,2,246,51.11,1046,895,38.74,482,1826,6.03,967,51.11,194,11.28,0,-45.0823,0.0572833713,0.168,n,0.056,1,0,0
clear,3,668,40.9,322,1384,23.14,618,2373,9,823,49.69,194,11.99,-8.79,-40.69081,0.0572833713,0.168,n,0.056,1,0,0
clear,4,484,35.89,612,1306,19.07,1012,2399,7.18,377,50.02,215,14.13,-14.13,-42.83711,0.0572833713,0.168,n,0.056,1,0,0
